,course_id,translated_title,category,instructional_level,translated_headline,translated_objectives_summary
11693,3150314,Management of the developing dentition orthodontic course,teaching,All Levels,"Space regaining, creation, closure, supervision. Management of oral habits. Part of full orthodontics dentistry course","['Space management in the transitional dentition. Planning for Space Management: Nance analysis; Moyers analysis; Bolton analysis.', 'Treatment Options for Space Management.', 'Space maintenance. Space regaining. Space creation. Space closure. Space supervision.']"
11740,4333026,ETABS v19 & SAFE v16 in Villa Structural Design in UAE+CAD,teaching,All Levels,"Modeling, analysis and design of 4 stories Villa in UAE using CSI ETABS and SAFE software","['Introduction to Structural design Concept', 'How we can begin with structural design of a Villa', 'Check of safety of the villa with many methods with complicated and challenged topics in structural design of the Villa']"
11754,295517,Writing an Effective Desk Research Paper,teaching,All Levels,Learn every stage of the process for developing a high quality paper -- from analysis of the assignment to submission,"['You will be able to develop a focused research question or thesis statement for your desk research paper', 'You will understand how to collect the information you need for your desk research paper', 'You will learn various ways to analyze the information you have collected for your desk research paper']"
11802,3337796,PVSOL Premium Bootcamp : From A to Z,teaching,All Levels,"Learn to fully design your commercial , residential , and industrial PV systems using PVSOL Premium software","['Defining and creating new locations in Climate Data', 'Changing the grid and AC mains settings', 'Creating shade frequency analysis']"
11803,3853076,A Practical Introduction to Hydraulic Modelling with HEC-RAS,teaching,All Levels,"A step-by-step guide to building, running and interpreting 1D HEC-RAS models. Now with downloadable companion guide","['Fundamentals of 1-D river modelling using HEC-RAS', 'Build a 1-D river network', 'Enter steady and unsteady flow data']"
11811,3546712,Csi ETABS in the Structural analysis of 15 stories+ basement,teaching,All Levels,Analysis and design of 15 stories and one basement R.C Building on ETABS and SAFE software including earthquake design.,"['Structural design of R.C building from A to Z included all structural element (columns, beams, slabs, shear walls, earthquake and wind design, how we can determine the dimensions of the elements)']"
11834,2544097,Oil & Gas : Introduction to Overpressure Protection & PSV,teaching,All Levels,Pressure Safety Valve (Oil and Gas Industry),"['You will able to apply ""what if"" analysis for engineering problems and design.', 'You will be able to foresee and identify the source of overpressure at the process facilities.', ""You will be able to describe the main components of the Flare System and to understand the working principle of PSV's""]"
11874,2697064,Uninterruptible Power Supply (UPS) Systems,teaching,All Levels,UPS Systems,"['1.\tAssessment of power supply reliability and power quality.', '2.\tDefining load classes and assessment of the impacts of poor supply reliability and quality.', '3.\tUnderstanding and analysis of the sources, and effects of various power quality (PQ) disturbances.']"
11892,1263126,Ultimate Electrical Fault Analysis for Complete Beginners,teaching,All Levels,Learn everything about electrical fault analysis in electric power system without any previous knowledge,"['Meaning of a fault in the electrical system', 'Meaning of overloading in the electrical system', 'Types of faults in the electrical system']"
11937,3424410,Introduction to Biostatistics,teaching,All Levels,"Learn probability, statistics, linear regression, correlation analysis, clinical research, data analysis,SAS programming","['What is biostatistics?', 'What are variables?', 'Types of variables']"
11991,2912618,"Correlations, Associations and Hypothesis Testing (with R)",teaching,All Levels,"Data Science Prerequisites: Correlations, Associations and Hypothesis Testing (with applications using R)","['Exploratory analysis for association between variables/features.', 'Foundation and essence of hypothesis testing for association between variables/features.', 'Measure and quantify the strength and statistical significance of associations.']"
12038,3311838,SCILAB: The Open Source Alternative of MATLAB,teaching,Intermediate Level,Learn SCILAB programming with step by step hands-on approach and build 2 practical projects to get in-depth knowledge.,"['SCILAB programming fundamentals.', 'Working with Scinote-file, Function, Script and XCos', 'Visualize data in 2D and 3D']"
12196,4026950,Instructional Design For Online And Offline Education,teaching,All Levels,"Instructional design strategies, Instructional design analysis, how to evaluate instructional design etc","['How to develop instructional design', 'How to evaluate instructional design', 'The process of implementing instructional design']"
12215,630332,"Mediation, Moderation, and Conditional Process Analysis",teaching,All Levels,"How to estimate detailed direct, indirect, and total effects for complex, intertwined mediating and moderating effects.","['Apply the PROCESS technique to separately estimate complex, combined direct, indirect and total mediating and moderating effects in OLS models and in PLS path models using their own data and models.', 'Have a wider range of precise analytical tools to more finitely estimate individual direct, indirect and total mediating and moderating effects, as well as the significant differences among them.', 'Install and use our R-based allstatGUI and MEDMOD (PROCESS) software applications on their own data and models.']"
12246,2558078,Google Drive Tools for Applied Behavior Analysis (1.5 CEUs),teaching,Beginner Level,Step-by-step instructions for leveraging this technology to meet your data collection needs,"['Why Google Forms is a useful tool for collecting data between various stakeholders', 'How to create a Google Form and link it to a Google sheet', 'How to properly format text']"
12253,3226473,Ultimate Edexcel IGCSE: English Language & Literature Course,teaching,Intermediate Level,Learn and analyse all the texts in the Pearson Edexcel IGCSE Anthology!,"['Students will learn the entire IGCSE Edexcel English Anthology and the meaning behind all the texts in the anthology!', 'Students will learn how to analyse written texts, learn the meanings behind these texts and do a word-level analysis']"
12320,4283942,STAAD Pro V8 Structural design of R.C building from A to Z,teaching,All Levels,STAAD Pro structural design analysis and detailing of R.C building,"['Introduction to STAAD Pro how you can begin with the software and setup', 'Structural design of R.C building', 'Detailing of structural elements']"
